date,sales
2018-03-09,20362.0
2018-03-11,7711.0
2018-03-12,23774.0
2018-03-13,14362.0
2018-03-14,9472.352
2018-03-15,19869.0
2018-03-16,15000.0
2018-03-18,14418.0
2018-03-19,17776.0
2018-03-20,14240.86
2018-03-21,9902.0
2018-03-22,17660.0
2018-03-23,19871.0
2018-03-25,3800.0
2018-03-26,17497.0
2018-03-27,15177.0
2018-03-28,18453.386
2018-03-29,15593.3
2018-03-30,25451.6
2018-03-31,20.0
2018-04-01,4780.0
2018-04-02,7214.0
2018-04-03,27999.0
2018-04-04,16733.0
2018-04-05,16415.0
2018-04-06,17367.0
2018-04-08,4111.0
2018-04-09,26992.224
2018-04-10,16769.448
2018-04-11,17983.0
2018-04-12,18486.0
2018-04-13,17091.0
2018-04-14,270.0
2018-04-15,4155.772
2018-04-16,23260.0
2018-04-17,18897.5
2018-04-18,13951.0
2018-04-19,13708.0
2018-04-20,15800.386
2018-04-22,3143.0
2018-04-23,26398.0
2018-04-24,14744.0
2018-04-25,16355.0
2018-04-26,15765.0
2018-04-27,19445.0
2018-04-29,9181.0
2018-04-30,23651.0
2018-05-01,2390.0
2018-05-02,15943.0
2018-05-03,13337.0
2018-05-04,18307.0
2018-05-06,3097.0
2018-05-07,28636.0
2018-05-08,1837.0
2018-05-09,10515.32
2018-05-10,3040.0
2018-05-11,20627.64
2018-05-13,5360.0
2018-05-14,23569.772
2018-05-15,15642.0
2018-05-16,18187.0
2018-05-17,20711.0
2018-05-18,20789.564
2018-05-20,4539.0
2018-05-21,15722.0
2018-05-22,12618.008
2018-05-23,14278.0
2018-05-24,13509.0
2018-05-25,16430.08
2018-05-27,2969.0
2018-05-28,24927.16
2018-05-29,16229.0
2018-05-30,13951.0
2018-05-31,15443.0
2018-06-01,11521.0
2018-06-03,5894.0
2018-06-04,40714.0
2018-06-05,14177.0
2018-06-06,20904.0
2018-06-07,15467.0
2018-06-08,18275.0
2018-06-11,30902.0
2018-06-12,18284.0
2018-06-13,12202.0
2018-06-14,17778.076
2018-06-15,19103.32
2018-06-17,4249.0
2018-06-18,17713.0
2018-06-19,20709.26
2018-06-20,18870.52
2018-06-21,13898.0
2018-06-22,18523.0
2018-06-24,4452.0
2018-06-25,27138.0
2018-06-26,20004.268
2018-06-27,15093.0
2018-06-28,15948.0
2018-06-29,16449.0
2018-06-30,20.0
2018-07-01,5575.0
2018-07-02,39567.0
2018-07-03,11410.0
2018-07-04,23072.4
2018-07-05,13833.8
2018-07-06,20529.0
2018-07-08,4172.0
2018-07-09,23890.0
2018-07-10,14563.0
2018-07-11,16183.0
2018-07-12,11019.0
2018-07-13,21637.0
2018-07-16,15221.536
2018-07-17,20846.0
2018-07-18,14439.0
2018-07-19,12560.0
2018-07-20,15882.0
2018-07-22,3778.0
2018-07-23,24512.0
2018-07-24,13926.24
2018-07-25,13989.386
2018-07-26,11449.0
2018-07-27,14928.0
2018-07-28,40.0
2018-07-29,286.0
2018-07-30,25540.0
2018-07-31,11528.0
2018-08-01,8817.0
2018-08-02,14807.0
2018-08-03,12959.0
2018-08-04,150.0
2018-08-06,12396.0
2018-08-07,15108.0
2018-08-08,6778.0
2018-08-09,12771.0
2018-08-10,12631.0
2018-08-13,24808.0
2018-08-14,9737.0
2018-08-15,1385.772
2018-08-16,9261.2
2018-08-17,11959.4
2018-08-19,2840.0
2018-08-20,17509.0
2018-08-21,12692.0
2018-08-22,9857.0
2018-08-23,13965.0
2018-08-24,9291.0
2018-08-25,126.0
2018-08-27,15465.0
2018-08-28,19089.0
2018-08-29,13314.0
2018-08-30,15389.0
2018-08-31,20241.0
2018-09-01,36.0
2018-09-02,3449.0
2018-09-03,24172.0
2018-09-04,7878.0
2018-09-05,23172.386
2018-09-06,11379.0
2018-09-07,21101.0
2018-09-09,4783.0
2018-09-10,30809.0
2018-09-11,10125.0
2018-09-12,22766.5
2018-09-13,12778.572
2018-09-14,16470.0
2018-09-16,5437.772
2018-09-17,28790.0
2018-09-18,9888.0
2018-09-19,11187.0
2018-09-20,8496.144
2018-09-21,15272.0
2018-09-23,4356.0
2018-09-24,22472.0
2018-09-25,15389.0
2018-09-26,14109.0
2018-09-27,18738.24
2018-09-28,17592.0
2018-09-30,5576.0
2018-10-01,24357.0
2018-10-02,22941.0
2018-10-03,13560.0
2018-10-04,15261.0
2018-10-05,18864.48
2018-10-07,4426.0
2018-10-08,28648.0
2018-10-09,12071.0
2018-10-10,12614.0
2018-10-11,11684.0
2018-10-12,26976.0
2018-10-14,9230.0
2018-10-15,17443.374
2018-10-16,10990.0
2018-10-17,11329.0
2018-10-18,11359.0
2018-10-19,19179.0
2018-10-21,5342.0
2018-10-22,23488.596
2018-10-23,9003.0
2018-10-24,10697.0
2018-10-25,12278.0
2018-10-26,15774.0
2018-10-28,3848.0
2018-10-29,30487.0
2018-10-30,13642.0
2018-10-31,10293.0
2018-11-01,1784.0
2018-11-02,19592.0
2018-11-04,3318.0
2018-11-05,17630.0
2018-11-06,9178.0
2018-11-07,17995.0
2018-11-08,14874.0
2018-11-09,16129.0
2018-11-11,3219.0
2018-11-12,24707.672
2018-11-13,24096.344
2018-11-14,11307.192
2018-11-15,7435.0
2018-11-16,20988.0
2018-11-17,108.0
2018-11-18,4055.0
2018-11-19,21440.7
2018-11-20,12207.0
2018-11-21,12967.0
2018-11-22,12339.0
2018-11-23,16054.0
2018-11-25,2769.0
2018-11-26,17704.0
2018-11-27,10904.0
2018-11-28,19942.0
2018-11-29,10938.0
2018-11-30,18745.0
2018-12-01,48.0
2018-12-02,4068.0
2018-12-03,28222.0
2018-12-04,13492.0
2018-12-05,18931.618
2018-12-06,10989.236
2018-12-07,17952.08
2018-12-09,3118.0
2018-12-10,28697.236
2018-12-11,13648.152
2018-12-12,21429.0
2018-12-13,10233.048
2018-12-14,18578.0
2018-12-16,3679.0
2018-12-17,9910.0
2018-12-18,23661.0
2018-12-19,17855.0
2018-12-20,13676.0
2018-12-21,14828.0
2018-12-23,7012.0
2018-12-24,10287.0
2018-12-25,1764.0
2018-12-26,11060.0
2018-12-27,5327.016
2018-12-28,1496.0
2018-12-30,105.0
2018-12-31,2186.0
2019-01-01,311.0
2019-01-02,53942.0
2019-01-03,14679.0
2019-01-04,15435.0
2019-01-05,806.0
2019-01-06,2810.0
2019-01-07,28094.0
2019-01-08,18657.0
2019-01-09,12165.032
2019-01-10,10734.0
2019-01-11,20024.0
2019-01-12,254.0
2019-01-13,640.0
2019-01-14,24864.0
2019-01-15,32641.0
2019-01-16,17719.0
2019-01-17,15707.0
2019-01-18,17835.0
2019-01-19,50.0
2019-01-20,4329.0
2019-01-21,22242.0
2019-01-22,18232.0
2019-01-23,10849.0
2019-01-24,11748.0
2019-01-25,16474.614
2019-01-26,0.0
2019-01-27,3586.0
2019-01-28,25707.0
2019-01-29,14873.0
2019-01-30,10727.0
2019-01-31,9858.0
2019-02-01,17251.0
2019-02-02,107.0
